Ticker;Nome;Preço (R$);Qualificado?
B3SA3;B3;14.38;0
ABEV3;Ambev;13.64;0
BBDC4;Banco Bradesco;18.52;0
ASAI3;Assaí;7.35;0
BBAS3;Banco do Brasil;21.82;0
AZEV4;Azevedo & Travassos;0.23;0
BRAV3;3R Petroleum;17.05;0
AMBP3;Ambipar;0.31;0
AXIA3;Axia Energia;51.20;0
ANIM3;Ânima Educação;4.15;0
BEEF3;Minerva;5.17;0
ALOS3;Allos;28.91;0
BBSE3;BB Seguridade;34.65;0
AZZA3;Arezzo;24.71;0
BBDC3;Banco Bradesco;15.84;0
BRAP4;Bradespar;21.16;0
BHIA3;Casas Bahia;2.98;0
ALPA4;Alpargatas;12.75;0
AURE3;Auren Energia;11.52;0
AMER3;Americanas;5.00;0
AZEV3;Azevedo & Travassos;0.32;0
AZTE3;AZT Energia;0.42;0
BMGB4;Banco BMG;4.92;0
ARML3;Armac;4.19;0
ABCB4;Banco ABC Brasil;24.10;0
BLAU3;Blau Farmacêutica;10.26;0
BPAN4;Banco Pan;11.64;0
ALLD3;Allied;8.44;0
BMOB3;Bemobi;22.22;0
AGRO3;BrasilAgro;20.03;0
ALPK3;Estapar;4.59;0
AMAR3;Lojas Marisa;1.02;0
BRAP3;Bradespar;18.42;0
BMEB4;Banco Mercantil do Brasil;57.53;0
AMOB3;Automob;13.67;0
AERI3;Aeris Energy;3.24;0
AALR3;Alliança;4.60;0
BIOM3;Biomm;7.12;0
ALUP4;Alupar;10.00;0
ALPA3;Alpargatas;10.59;0
AVLL3;Alphaville;0.94;0
AGXY3;AgroGalaxy;4.29;1
BPAC3;Banco BTG Pactual;38.63;0
ALUP3;Alupar;11.71;0
BEES4;Banestes;8.24;0
BEES3;Banestes;8.22;0
BMEB3;Banco Mercantil do Brasil;50.49;0
ATED3;ATOM EDUCAÇÃO E EDITORA S.A.;2.07;0
BALM4;Baumer;18.87;0
BAZA3;Banco da Amazônia;77.75;0
BNBR3;Banco do Nordeste;116.25;0
BOBR4;Bombril;1.27;0
BIED3;Bioma;4.26;0
BMKS3;Monark;377.00;0
BGIP3;Banese;41.32;0
BGIP4;Banese;34.60;0
AFLT3;Afluente T;7.08;0
MBRF3;Marfrig;18.62;0
COGN3;Cogna;3.58;0
VALE3;Vale;76.32;0
CEAB3;C&A;10.46;0
PETR4;Petrobras;29.83;0
RAIZ4;Raízen;0.83;0
CSAN3;Cosan;5.10;0
MGLU3;Magazine Luiza;9.29;0
ITUB4;Itaú Unibanco;39.32;0
ITSA4;Itaúsa;11.77;0
CPLE3;Copel;12.12;0
DIRR3;Direcional;13.65;0
CSNA3;Siderúrgica Nacional;9.85;0
LREN3;Lojas Renner;13.13;0
CMIG4;Cemig;11.00;0
USIM5;Usiminas;6.48;0
VAMO3;Grupo Vamos;3.26;1
PETR3;Petrobras;31.18;0
PRIO3;PetroRio;41.07;0
ONCO3;Oncoclínicas;2.92;0
