Ticker;Nome;Setor;Preço (R$);Último Dividendo;Taxa de Administração
ZIFI11;Zion Capital FII Unica;Fundo de Desenvolvimento;900.00;3.31;0.4
ZAVI11;Zavit Real Estate Fund Closed Fund;Indefinido;10.06;0.11;0.5
ZAVC11;Zavit Credito Imobiliario FII - Unica;Indefinido;9.01;0.13;0.6
ZAGH11;Zagros Multiestrategia FII;Serviços Financeiros Diversos;10.10;0.06;0.7
YUFI11B;YUFI11B;Indefinido;-;0.63;0.2
YUFI11;Yuca Fundo de Investimento Imobiliario;Fundo de Desenvolvimento;15.00;29.23;0.4
XTED11;XTED11;Lajes Corporativas;8.82;11.16;0.3
XPSF11;Xp Selection Fundo de Fundos Inv Imob Fii;Fundo de Fundos;6.60;0.07;0.8
XPPR11;XPPR11;Lajes Corporativas;12.54;0.07;1
XPML11;XP Malls Fundo de Investimento Imobiliario;Shoppings;109.20;0.92;0.1
XPLG11;XP Log Fundo de Investimento Imobiliario-FII;Imóveis Industriais e Logísticos;103.76;0.82;0.2
XPIN11;XP Industrial Fundo de Investimento Imobiliario;Imóveis Industriais e Logísticos;81.81;0.85;0
XPIE11;XP Infra II Fundo de Investimento em Participacoes em Infraestrutu;Indefinido;53.93;0.97;0.4
XPID11;Xp Fundo de Investimento em Cotas de Fundos Incentivados de Investimento em Infraestrutura Reda Fixa;Indefinido;46.40;0.50;0.4
XPHT11;XPHT11;Hotéis;123.00;0.41;0.3
XPCM11;XP Corporate Macae FI Imobiliario - Un;Lajes Corporativas;8.08;0.02;0.5
XPCI11;XP Credito Imobiliario Fdo Inv Mob;Papéis;82.95;0.88;0.5
XPCA11;Xp Cred Agri FI Cadeias Pro Agrid Imob Fiagro-imo;Indefinido;8.35;0.11;0.4
WTSP11B;WTSP11B;Misto;36.00;0.05;0.6
WSEC11;FII WARREN CI;Indefinido;1.41;1.46;0.7
WPLZ11;Shopping West Plaza FI Imobiliario - Un;Shoppings;46.45;0.37;0.3
WHGR11;WHG Real Estate Fundo de Investimento Imobiliario Closed Fund;Indefinido;9.39;0.10;0.1
VXXV11;Genesis Multiestrategia FI Imobiliario FII Unica;Fundo de Desenvolvimento;722.00;273.35;0.7
VVRI11;V2 Renda Imobiliaria FII - FII;Indefinido;76.74;0.75;0.2
VVPR11;VVPR11;Misto;101.50;0.89;0.6
VVMR11;FI Imobiliario Multi Renda Urbana Closed Fund;Lajes Corporativas;85.00;0.20;0.3
VVCR11;V2 Recebiveis Imobiliarios FII;Papéis;9.44;0.10;0.6
VVCO11;V2 Edificios Corporativos FII;Lajes Corporativas;14.95;11.16;0.6
VTPL11;Fundo de Investimento Imobiliario Plus;Papéis;64.25;0.60;0.6
VTLT11;FII VOT LOG CI;Imóveis Industriais e Logísticos;88.98;2.54;0.6
VTBL11;VTBL11;Outros;-;1.54;0.4
VSLH11;Versalhes Recebiveis Imobiliarios - FII;Papéis;2.17;0.03;0.2
VSHO11;FI Imobiliario Votorantim Shopping;Shoppings;74.94;0.95;1
VSEC11;VSEC11;Papéis;0.21;2.05;0.1
VRTM11;Fator Verita Multiestrategia FII;Misto;7.21;0.09;0.7
VRTA11;Fator Verita Fundo Investimento Imobiliario - FII;Papéis;80.11;0.85;0.3
VPPR11;V2 Prime Properties Fundo de Investimento Imobiliario Closed Fund;Lajes Corporativas;16.25;0.07;0.6
VOTS11;Tivio Securities FII - Unica;Papéis;75.26;1.22;0.4
VLOL11;VLOL11;Lajes Corporativas;88.00;16.30;0.9
VLIQ11;VLIQ11;Indefinido;-;5.04;0.7
VJFD11;JFDCAM Fundo Investimento Imobiliario;Papéis;150.00;2.10;0.5
VIUR11;Vinci Imoveis Urbanos FI Imobiliario;Misto;6.01;0.09;0.8
VISC11;Vinci Shopping Centers FI Imobiliario;Shoppings;108.50;0.81;0.3
VINO11;Vinci Offices FII;Lajes Corporativas;5.16;0.05;1
VILG11;Vinci Logistica Fundo de Investimento Imobiliario;Imóveis Industriais e Logísticos;99.30;0.74;0.4
VIGT11;Vinci Energia FIP Infraestrutura;-;42.93;0.24;0.4
VIFI11;VIFI11;Fundo de Fundos;6.96;0.07;0.8
VIDS11;Vic Desenvolvimento - Vintage 20/21 FII;Fundo de Desenvolvimento;915.64;16.06;0.8
VGRI11;Valora Renda Imobiliaria FII;Misto;8.29;0.12;0.1
VGIR11;Valora RE III FI Imobiliario-FII;Papéis;9.82;0.13;0.2
VGIP11;Valora Cri Indice de Preco FI Imobiliario - FII;Papéis;80.61;0.92;0.9
VGII11;Valora Cri Infra II FII RL;Tecidos. Vestuário e Calçados;72.84;0.40;0.8
VGIA11;Valora Cra FI Cadeias Prod Agro FIAGRO Imobiliario;Indefinido;10.15;0.14;0.2
VGHF11;Valora Hedge Fund FI Imobiliario - FII - Unica;Misto;7.22;0.07;0.8
VCRR11;Vectis Renda Residencial FII - 1;Imóveis Residenciais;66.99;0.50;1
VCRI11;Vinci Credit Securities FI Imobiliario - Unica;Papéis;7.40;0.10;0.4
VCRA11;Vectis Datagro Credito Agronegocio FIAGRO Imob;Indefinido;64.10;0.95;0.7
VCJR11;Vectis Juros Real FI Imobiliario FII;Papéis;79.96;0.77;1
VANG11;Icatu Vanguarda Inc Infraest FICFI RF CP LP - RL;Indefinido;100.61;1.00;0.8
URPR11;Urca Prime Renda FII;Papéis;38.89;0.35;0
URHF11;Urca Hedge Fund Estrategia Imob Fii Cf;Outros;70.25;1.07;0.1
TVRI11;Tivio Renda Imobiliaria FI Imobiliario;Agências de Bancos;99.41;1.05;0.4
TSER11;Tishman Speyer Renda Corporativa FII Closed Fund;Lajes Corporativas;97.00;1.04;0.8
TRXY11;TRX Hedge FI Imobiliario RL;Outros;9.43;0.13;0.6
TRXF11;TRX Real Estate FII Closed Fund;Imóveis Comerciais - Outros;96.98;1.00;0.4
TRXB11;Trx Real Estate II Fundo de Investimento Imobiliario Closed Fund;Fundo de Desenvolvimento;165.00;4.05;0.4
TRNT11;FI Imobiliario - FII Torre Norte;Lajes Corporativas;94.00;0.07;0.2
TRBL11;FII Tellus Rio Bravo Renda Logistica - FII;Imóveis Industriais e Logísticos;68.80;0.53;0.3
TORD11;Tordesilhas EI Fundo de Investimento Imobiliario Closed Fund;Misto;1.97;0.01;0.5
TOPP11;RBR Top Off FII RL;Imóveis Comerciais - Outros;73.03;0.84;0.3
